,Parameters,run_time,mean average precision,precsionAtK,NDCGs
0,"(16, 10, 0.01)",784.38628,4.564533946976024e-05,9.59160734357438e-05,0.0016857838563687224
1,"(17, 10, 0.01)",913.26989,4.898781506389974e-05,0.00012139378044211334,0.002097884867702152
2,"(18, 10, 0.01)",759.11218,6.877274921091074e-05,0.00012364181341326339,0.00225060919764663
3,"(19, 10, 0.01)",490.83608,0.0001014189594208114,0.00012738853503184715,0.002328380011061238
4,"(20, 10, 0.01)",750.79008,7.279544713539461e-05,0.00013638066691644814,0.002443708906162303
5,"(21, 10, 0.01)",775.7224,6.842803331296617e-05,0.00012514050206069698,0.002226336843946356
6,"(22, 10, 0.01)",743.90489,6.548360902773725e-05,0.00013937804421131517,0.00248493536984565
7,"(23, 10, 0.01)",731.48422,9.47690833390986e-05,0.00016785312851255155,0.0030756858424380155
8,"(24, 10, 0.01)",750.22165,9.001015053755866e-05,0.00017609591607343572,0.0031420541445839056
9,"(25, 10, 0.01)",732.37648,0.0001548957286022882,0.0001723491944548521,0.003330220855568267
